Production_ID,Region_Name,Crop_Name,Time_ID,Soil_Type,Climate_Name,Avg_Temperature,Growth_Duration,Season,Quantity
20190100426,South,Taro,201901,Clay,Equatorial,25.6,135,Dry Season,3952
20190101637,Littoral,Macabo,201901,Loamy,Equatorial,25.6,135,Dry Season,3241
20190101788,Littoral,Cocoa,201901,Peaty,Equatorial,25.6,148,Dry Season,3493
20190102756,Littoral,Papaya,201901,Loamy,Equatorial,25.6,330,Dry Season,7522
20190103309,Southwest,Voandzou,201901,Saline,Equatorial,25.6,118,Dry Season,8677
20190103381,Northwest,Yam,201901,Silty,Mountain,20.0,259,Dry Season,7018
20190103929,Centre,Chilli,201901,Clay,Tropical Savanna,28.5,90,Dry Season,5850
20190104343,Farnorth,Sorghum,201901,Sandy,Semi-Arid (Sahelian),33.9,317,Dry Season,2356
20190104447,Centre,garlic,201901,Peaty,Tropical Savanna,28.5,123,Dry Season,9878
20190104894,Southwest,Watermelon,201901,Peaty,Equatorial,25.6,116,Dry Season,3626
20190104942,Centre,Sweet potato,201901,Clay,Tropical Savanna,28.5,90,Dry Season,8514
20190105235,Centre,Black nightshade,201901,Clay,Tropical Savanna,28.5,113,Dry Season,665
20190105249,Littoral,Chilli,201901,Loamy,Equatorial,25.6,90,Dry Season,8299
20190105371,Centre,Papaya,201901,Clay,Tropical Savanna,28.5,330,Dry Season,1732
20190105739,East,Taro,201901,Clay,Equatorial,25.6,135,Dry Season,2339
20190105867,Southwest,Cassava,201901,Saline,Equatorial,25.6,264,Dry Season,9224
20190106106,South,Oil,201901,Peaty,Equatorial,25.6,170,Dry Season,7069
20190106644,Littoral,Watermelon,201901,Saline,Equatorial,25.6,116,Dry Season,5710
20190106742,Littoral,garlic,201901,Loamy,Equatorial,25.6,123,Dry Season,1955
20190107038,Centre,Cabbage,201901,Peaty,Tropical Savanna,28.5,237,Dry Season,9032
20190107205,Southwest,Papaya,201901,Loamy,Equatorial,25.6,330,Dry Season,7369
20190108493,Southwest,Yam,201901,Saline,Equatorial,25.6,259,Dry Season,2747
20190108891,Centre,Eggplant (garden eggs),201901,Peaty,Tropical Savanna,28.5,188,Dry Season,8471
20190109355,Southwest,Sweet potato,201901,Loamy,Equatorial,25.6,90,Dry Season,9663
20190110233,Southwest,Cassava,201901,Loamy,Equatorial,25.6,264,Dry Season,2057
20190110299,Littoral,Onion,201901,Loamy,Equatorial,25.6,123,Dry Season,4404
20190110782,West,Oil,201901,Silty,Tropical Savanna,28.5,170,Dry Season,2018
20190111015,South,Robusta coffee,201901,Peaty,Equatorial,25.6,267,Dry Season,8482
20190112424,Littoral,Black nightshade,201901,Peaty,Equatorial,25.6,113,Dry Season,5480
20190112792,Littoral,Mushroom,201901,Saline,Equatorial,25.6,162,Dry Season,1626
20190112832,Southwest,Paddy rice,201901,Peaty,Equatorial,25.6,246,Dry Season,6603
20190113764,Northwest,Potato,201901,Silty,Mountain,20.0,194,Dry Season,9189
20190113922,Littoral,Chilli,201901,Peaty,Equatorial,25.6,90,Dry Season,410
20190114064,Littoral,Cocoa,201901,Saline,Equatorial,25.6,148,Dry Season,8406
20190114385,Littoral,Watermelon,201901,Loamy,Equatorial,25.6,116,Dry Season,678
